month,weekday,is_holiday,site,hist_avg_tourists,hist_avg_temp,hist_avg_precip,hist_event_count,hist_trend_score,tourists,date,condition
1,0,0,Dehradun,202.57142857142858,24.614285714285717,3.4285714285714284,0.2857142857142857,65.71428571428571,225,2018-01-01,Suitable
1,1,0,Dehradun,199.71428571428572,23.514285714285716,3.157142857142856,0.2857142857142857,48.142857142857146,214,2018-01-02,Suitable
1,2,0,Dehradun,183.42857142857142,24.728571428571428,2.3000000000000003,0.2857142857142857,39.42857142857143,212,2018-01-03,Suitable
1,3,0,Dehradun,216.14285714285714,25.314285714285713,3.5285714285714285,0.0,34.857142857142854,179,2018-01-04,Mild
1,4,0,Dehradun,191.28571428571428,24.057142857142857,1.6857142857142857,0.14285714285714285,50.0,203,2018-01-05,Suitable
1,5,0,Dehradun,202.14285714285714,24.142857142857142,2.7285714285714286,0.14285714285714285,53.142857142857146,170,2018-01-06,Mild
1,6,0,Dehradun,182.28571428571428,23.971428571428568,2.6714285714285713,0.2857142857142857,56.857142857142854,199,2018-01-07,Suitable
1,0,0,Dehradun,229.0,24.185714285714287,3.5000000000000004,0.5714285714285714,45.857142857142854,339,2018-01-08,Overcrowded
1,1,0,Dehradun,195.14285714285714,24.25714285714286,2.6714285714285713,0.14285714285714285,48.142857142857146,150,2018-01-09,Mild
1,2,0,Dehradun,218.42857142857142,22.628571428571426,2.857142857142857,0.42857142857142855,46.42857142857143,217,2018-01-10,Suitable
1,3,0,Dehradun,205.14285714285714,24.814285714285713,3.3000000000000003,0.14285714285714285,48.57142857142857,229,2018-01-11,Suitable
1,4,0,Dehradun,180.71428571428572,25.157142857142855,3.057142857142857,0.14285714285714285,57.142857142857146,158,2018-01-12,Mild
1,5,0,Dehradun,201.0,26.228571428571428,3.5,0.42857142857142855,47.285714285714285,191,2018-01-13,Mild
1,6,0,Dehradun,187.57142857142858,26.28571428571429,3.0,0.2857142857142857,39.42857142857143,196,2018-01-14,Mild
1,0,0,Dehradun,233.14285714285714,24.900000000000002,3.3285714285714287,0.2857142857142857,49.857142857142854,275,2018-01-15,Suitable
1,1,0,Dehradun,207.85714285714286,23.885714285714283,3.3428571428571425,0.42857142857142855,42.285714285714285,204,2018-01-16,Suitable
1,2,0,Dehradun,203.42857142857142,24.571428571428573,2.842857142857143,0.5714285714285714,49.57142857142857,274,2018-01-17,Suitable
1,3,0,Dehradun,198.14285714285714,25.514285714285712,3.257142857142857,0.2857142857142857,52.142857142857146,246,2018-01-18,Suitable
1,4,0,Dehradun,206.14285714285714,25.37142857142857,2.771428571428572,0.2857142857142857,44.0,165,2018-01-19,Mild
1,5,0,Dehradun,201.42857142857142,25.614285714285717,2.7857142857142856,0.0,45.714285714285715,67,2018-01-20,Mild
1,6,0,Dehradun,196.14285714285714,25.428571428571434,2.957142857142857,0.14285714285714285,50.142857142857146,192,2018-01-21,Mild
1,0,0,Dehradun,183.28571428571428,24.471428571428568,2.557142857142857,0.2857142857142857,38.142857142857146,199,2018-01-22,Suitable
1,1,0,Dehradun,205.85714285714286,26.500000000000004,3.4857142857142853,0.42857142857142855,53.57142857142857,203,2018-01-23,Suitable
