site,date,tourists,temp,precip,event_count,trend_score
Dehradun,2018-01-01,225,24.6,3.6,0,80
Dehradun,2018-01-02,214,28.0,2.4,0,39
Dehradun,2018-01-03,212,19.3,1.3,0,39
Dehradun,2018-01-04,179,22.8,2.3,0,7
Dehradun,2018-01-05,203,20.7,2.5,0,52
Dehradun,2018-01-06,170,27.8,3.3,0,37
Dehradun,2018-01-07,199,21.8,3.8,0,26
Dehradun,2018-01-08,339,28.6,3.2,1,68
Dehradun,2018-01-09,150,20.3,3.8,0,39
Dehradun,2018-01-10,217,19.7,3.3,0,42
Dehradun,2018-01-11,229,27.7,3.9,0,65
Dehradun,2018-01-12,158,24.1,3.3,0,70
Dehradun,2018-01-13,191,23.8,4.2,0,32
Dehradun,2018-01-14,196,28.0,3.4,0,37
Dehradun,2018-01-15,275,26.0,6.4,0,32
Dehradun,2018-01-16,204,24.1,3.1,1,10
Dehradun,2018-01-17,274,23.4,2.2,1,40
Dehradun,2018-01-18,246,26.0,2.5,1,60
Dehradun,2018-01-19,165,24.0,2.6,0,21
Dehradun,2018-01-20,67,26.0,2.6,0,44
Dehradun,2018-01-21,192,26.2,4.9,0,53
Dehradun,2018-01-22,199,20.0,1.9,0,30
Dehradun,2018-01-23,203,32.4,2.8,0,56
Dehradun,2018-01-24,217,25.0,3.8,0,27
Dehradun,2018-01-25,240,22.3,4.4,0,22
Dehradun,2018-01-26,156,25.2,2.5,0,68
Dehradun,2018-01-27,205,23.5,1.4,0,51
Dehradun,2018-01-28,227,22.3,3.6,0,47
Dehradun,2018-01-29,161,24.0,3.8,0,25
Dehradun,2018-01-30,268,32.6,2.7,1,46
Dehradun,2018-01-31,128,28.6,4.3,1,33
Dehradun,2018-02-01,231,33.7,3.2,0,67
Dehradun,2018-02-02,215,27.9,4.9,0,59
Dehradun,2018-02-03,237,27.1,2.2,0,27
Dehradun,2018-02-04,248,31.2,3.8,0,88
Dehradun,2018-02-05,132,27.7,3.9,0,45
Dehradun,2018-02-06,201,34.4,2.7,0,100
Dehradun,2018-02-07,152,32.9,3.0,0,47
Dehradun,2018-02-08,189,32.1,3.5,2,49
Dehradun,2018-02-09,252,29.0,2.1,0,40
Dehradun,2018-02-10,209,31.2,2.1,0,53
Dehradun,2018-02-11,253,30.2,3.9,0,71
Dehradun,2018-02-12,131,27.2,3.5,1,60
Dehradun,2018-02-13,226,41.6,3.6,0,73
Dehradun,2018-02-14,212,30.5,1.8,0,20
Dehradun,2018-02-15,176,30.2,5.3,0,13
Dehradun,2018-02-16,179,30.2,2.1,0,43
Dehradun,2018-02-17,164,32.0,2.3,0,54
Dehradun,2018-02-18,319,35.5,4.4,1,67
Dehradun,2018-02-19,252,28.1,2.6,0,17
Dehradun,2018-02-20,225,32.6,1.8,0,43
Dehradun,2018-02-21,216,25.2,3.9,0,75
Dehradun,2018-02-22,306,33.1,1.5,0,40
Dehradun,2018-02-23,188,35.6,3.0,0,31
Dehradun,2018-02-24,187,26.3,4.6,0,21
Dehradun,2018-02-25,194,28.6,3.1,1,97
Dehradun,2018-02-26,190,30.2,3.6,0,53
Dehradun,2018-02-27,279,26.3,5.1,1,11
Dehradun,2018-02-28,214,28.1,2.8,1,40
Dehradun,2018-03-01,171,36.2,3.4,3,36
